Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,PetScannerChip,PetScannerSerial,AnswerCode,Organization,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,Accuracy,nombre de chien ,photo ,photo,animal loc_lat,animal loc_lon,collier ,couleur collier ,sexe ,âge,couleur ,date,remarque ,deja_vu,Gardien
Jun,27/06/2024,10:26 AM,27/06/2024,-18.9015157,47.5470239,,,C-270624102133-21256-1,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe5,Comptage chien errant ,Dog,,No,104.1,,Madagascar_Comptages_1719473147338.jpg,Madagascar_Comptages_1719473158713.jpg,-18.9015152,47.5470247,non,,femelle ,6 mois à 1 an ,sable charbonné,27/06/2024,,,
Jun,27/06/2024,10:24 AM,27/06/2024,-18.9015163,47.5470182,,,C-270624102033-21257-1,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe6,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719472996754.jpg,Madagascar_Comptages_1719473008165.jpg,0,0,oui,jaune,femelle ,3 - 5 ans ,sable charbonné,27/06/2024,,,
Jun,27/06/2024,10:54 AM,27/06/2024,-18.9018836,47.5470099,,,C-270624105341-21260-4,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe9,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474846672.jpg,Madagascar_Comptages_1719474853244.jpg,0,0,oui,gris ,mâle ,3 - 5 ans ,Fauve charbonné (Feu),27/06/2024,,,
Jun,27/06/2024,10:53 AM,27/06/2024,-18.9018822,47.547012,,,C-270624104252-21260-3,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe9,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474776341.jpg,"Madagascar_Comptages_1719474783598.jpg,Madagascar_Comptages_1719474789458.jpg",0,0,oui,gris ,mâle ,1 à 3  ans,fauve roux,27/06/2024,,,
Jun,27/06/2024,10:42 AM,27/06/2024,-18.9019947,47.5472931,,,C-270624104132-21260-2,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe9,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474146630.jpg,Madagascar_Comptages_1719474162496.jpg,0,0,oui,jaune,mâle ,< 6 mois,fauve roux,27/06/2024,,,
Jun,27/06/2024,10:41 AM,27/06/2024,-18.9019222,47.546936,,,C-270624102128-21260-1,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe9,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474051524.jpg,Madagascar_Comptages_1719474057793.jpg,-18.9018991,47.54718997,non,,mâle ,1 à 3  ans,sable,27/06/2024,,,
Jun,27/06/2024,1:06 PM,27/06/2024,-18.90276,47.5555649,,,C-270624130543-21255-10,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,18.259,,Madagascar_Comptages_1719482757448.jpg,Madagascar_Comptages_1719482766729.jpg,-18.90277614,47.55557857,non,,femelle ,1 à 3  ans,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:05 PM,27/06/2024,-18.9030819,47.5556641,,,C-270624130448-21255-9,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,10.289,,Madagascar_Comptages_1719482699696.jpg,Madagascar_Comptages_1719482704165.jpg,-18.90274474,47.55555175,non,,femelle ,1 à 3  ans,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:04 PM,27/06/2024,-18.9026183,47.5555159,,,C-270624130345-21255-8,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,23.404,,Madagascar_Comptages_1719482636897.jpg,Madagascar_Comptages_1719482642076.jpg,-18.90268352,47.55550884,non,,mâle ,1 à 3  ans,Fauve charbonné (Feu),27/06/2024,,,
Jun,27/06/2024,1:03 PM,27/06/2024,-18.9025505,47.5555385,,,C-270624130303-21255-7,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,3.9,,Madagascar_Comptages_1719482597044.jpg,Madagascar_Comptages_1719482603244.jpg,-18.90258678,47.55551722,non,,femelle ,1 à 3  ans,Autre,27/06/2024,,,
Jun,27/06/2024,1:03 PM,27/06/2024,-18.9026981,47.5555121,,,C-270624130158-21255-6,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,12.518,,Madagascar_Comptages_1719482545441.jpg,Madagascar_Comptages_1719482577907.jpg,-18.903624,47.55965184,non,,femelle ,6 mois à 1 an ,Fauve charbonné (Feu),27/06/2024,,,
Jun,27/06/2024,1:01 PM,27/06/2024,-18.9023407,47.5554997,,,C-270624125242-21255-5,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,4.763,,Madagascar_Comptages_1719482483088.jpg,Madagascar_Comptages_1719482488717.jpg,-18.90309809,47.55724087,non,,mâle ,< 6 mois,noire,27/06/2024,,,
Jun,27/06/2024,12:52 PM,27/06/2024,-18.9029316,47.5568889,,,C-270624125129-21255-4,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,7.708,,Madagascar_Comptages_1719481908102.jpg,Madagascar_Comptages_1719481915976.jpg,-18.9076891,47.55683217,non,,mâle ,6 mois à 1 an ,fauve roux,27/06/2024,,,
Jun,27/06/2024,12:50 PM,27/06/2024,-18.9032399,47.5574643,,,C-270624124931-21255-3,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,4.929,,Madagascar_Comptages_1719481792655.jpg,Madagascar_Comptages_1719481802636.jpg,-18.90318247,47.55741823,non,,femelle ,1 à 3  ans,fauve roux,27/06/2024,,,
Jun,27/06/2024,12:46 PM,27/06/2024,-18.9032158,47.5583895,,,C-270624124511-21255-2,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,37.76,,Madagascar_Comptages_1719481531045.jpg,Madagascar_Comptages_1719481540431.jpg,-18.90315614,47.55864903,non,,femelle ,3 - 5 ans ,Blanc,27/06/2024,,,
Jun,27/06/2024,12:44 PM,27/06/2024,-18.9027481,47.5586924,,,C-270624101536-21255-1,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe3,Comptage chien errant ,Dog,,No,5.119,,Madagascar_Comptages_1719481383456.jpg,Madagascar_Comptages_1719481394161.jpg,-18.90126787,47.54365582,non,,mâle ,> 5 ans ,Autre,27/06/2024,,,
Jun,27/06/2024,2:00 PM,27/06/2024,-18.9099382,47.5479073,,,C-270624135217-21261-23,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719485997018.jpg,Madagascar_Comptages_1719486007451.jpg,-18.91024844,47.54785884,non,,mâle ,3 - 5 ans ,"Blanc,noire",27/06/2024,,,
Jun,27/06/2024,1:50 PM,27/06/2024,-18.9067717,47.550365,,,C-270624134859-21261-22,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719485369462.jpg,"Madagascar_Comptages_1719485395620.jpg,Madagascar_Comptages_1719485404666.jpg",-17.16870786,43.03717822,non,,femelle ,1 à 3  ans,Fauve charbonné (Feu),27/06/2024,,,
Jun,27/06/2024,1:48 PM,27/06/2024,-18.9068878,47.5503463,,,C-270624134745-21261-21,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719485297127.jpg,Madagascar_Comptages_1719485303789.jpg,-18.01960688,45.24111986,non,,mâle ,> 5 ans ,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:44 PM,27/06/2024,-18.9089513,47.5488357,,,C-270624134257-21261-20,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719484992819.jpg,Madagascar_Comptages_1719485000375.jpg,-18.90890835,47.54884992,non,,femelle ,3 - 5 ans ,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:39 PM,27/06/2024,-18.9076867,47.5501467,,,C-270624133835-21261-19,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719484729547.jpg,Madagascar_Comptages_1719484735464.jpg,-17.12315689,42.91718423,non,,femelle ,1 à 3  ans,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:38 PM,27/06/2024,-18.9077179,47.5503021,,,C-270624133731-21261-18,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719484667240.jpg,Madagascar_Comptages_1719484676046.jpg,-18.9076818,47.55016487,non,,mâle ,3 - 5 ans ,"Fauve charbonné (Feu),noire",27/06/2024,,,
Jun,27/06/2024,1:31 PM,27/06/2024,-18.9086867,47.5514417,,,C-270624133018-21261-17,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719484272330.jpg,Madagascar_Comptages_1719484283047.jpg,-18.90869489,47.5513551,non,,mâle ,3 - 5 ans ,Fauve charbonné (Feu),27/06/2024,,,
