id_fkt,fkt,Seclasse,length,area_real,area_admin,percentage covared,pcc_bac,pcc_total,population
1,Ambatomaro,Riche,14189.705,806654,2417765.503,0.333636161,4,5,32838
2,Ambodimita,Moyen,7271.998,389383,1284071.607,0.303240877,2,5,12757
2,Ambodivona,Moyen,2151.361,121716,79875.869,1.523814408,0,3,2795
4,Ambohimanandray,Moyen,1859.233,105997,78224.977,1.355027564,1,3,4018
5,Ambohimiandra,Pauvre,10172.046,573303,474234.601,1.208901668,3,9,8674
6,Ampandrana,Moyen,5399.022,290622,242530.113,1.198292436,4,6,4018
7,Analamahitsy,Moyen,14999.369,788259,1171349.882,0.672949229,7,15,19875
8,Andavamamba,Pauvre,3869.679,234563,302711.58,0.7748729,1,10,12402
9,Andraharo,Pauvre,4029.492,265304,598928.582,0.442964333,2,9,2627
10,Andraisoro,Pauvre,17226.942,992061,1240938.446,0.799444165,9,33,22319
11,Anjanahary,Moyen,4350.724,180131,125489.511,1.435426743,3,5,6649
12,Ankazatoho,Pauvre,8443.286,519520,1104845.19,0.470219724,12,18,24901
13,Ankerana,Moyen,11362.024,599441,649755.455,0.922564013,2,3,18268
14,Anosipatrana,Pauvre,3317.054,160269,200276.877,0.800237164,1,10,8647
15,Faravohitra-Analakely,Riche,6134.63,345791,155817.136,2.219210344,4,9,2643
16,Isotry-Antetezana,Riche,2282.044,127756,136097.686,0.938708098,2,4,10652
17,Mahamasina,Moyen,6163.348,366789,527641.433,0.695148214,3,5,7528
18,Mandroseza,Riche,4360.538,285634,1326505.949,0.215328096,4,7,16967
19,Soavimasoandro,Riche,13854.753,685235,4722367.687,0.145104118,2,10,32838
