,1,2,3,4,5,6,7,8,9,fkt,Seclasse,length,Real area covered ,Administrative area,percentage covared,length/ area covered,PPC Bac ou point d'ordures,PCC total,population,p_water,p_ricefield,p_industrial,p_sparse_urb,p_compact_ur,abundance_index
1,122,128,131,142,171,150,160,139,132,Ambatomaro,Riche,14189.705,806654,2417765.503,0.333636161,0.01759082,4,5,25000,4.13020541320307e-05,0.110431694,0.316549052,0.390147299,0.182830652,3.439176947
2,37,38,38,47,66,NA,NA,NA,NA,Ambodimita,Moyen,7271.998,389383,1284071.607,0.303240877,0.018675695,2,5,12757,0,0.003117571,0.025974694,0.957555854,0.013351881,3.958284921
3,16,14,19,15,12,NA,NA,NA,NA,Ambodivona,Moyen,2151.361,121716,79875.869,1.523814408,0.017675252,0,3,2795,7.80753212903668e-05,0.022951926,0.205321191,0.166126304,0.605522504,4.171693969
4,33,16,18,23,26,NA,NA,NA,NA,Ambohimanandray,Moyen,1859.233,105997,78224.977,1.355027564,0.01754043,1,3,4018,6.77864029002317e-05,0.121237575,0.232675621,0.326948198,0.31907082,4.154205
5,47,50,62,49,60,NA,NA,NA,NA,Ambohimiandra,Pauvre,10172.046,573303,474234.601,1.208901668,0.017742879,3,9,8674,0.000746377,0.182256477,0.177696618,0.422977318,0.21632321,3.676434366
6,32,38,41,39,37,NA,NA,NA,NA,Ampandrana,Moyen,5399.022,290622,242530.113,1.198292436,0.018577472,4,6,15000,6.39710480333633e-05,0.094947301,0.201936477,0.250320624,0.452731627,3.953719458
7,51,43,63,44,45,NA,NA,NA,NA,Analamahitsy,Moyen,14999.369,788259,1171349.882,0.672949229,0.019028478,7,15,19875,0.021938339,0.11382416,0.173966508,0.349335462,0.340935531,3.813363338
8,76,68,58,63,75,NA,NA,NA,NA,Andavamamba,Pauvre,3869.679,234563,302711.58,0.7748729,0.016497397,1,10,12402,0.027618109,0.228968902,0.150919723,0.250676067,0.341817199,3.728154525
9,11,12,23,18,16,NA,NA,NA,NA,Andraharo,Pauvre,4029.492,265304,598928.582,0.442964333,0.015188207,2,9,2627,0.00099528,0.339483347,0.214889652,0.179604884,0.265026836,3.492778346
10,174,175,200,167,180,NA,NA,NA,NA,Andraisoro,Pauvre,17226.942,992061,1240938.446,0.799444165,0.017364801,9,33,22319,6.16453195012479e-05,0.121460047,0.208763357,0.431008037,0.238706913,3.699535216
11,32,41,39,36,42,NA,NA,NA,NA,Anjanahary,Moyen,4350.724,180131,125489.511,1.435426743,0.024153111,3,5,6649,0.000112689,0.032179234,0.202789155,0.216041772,0.548877151,4.110781542
12,74,79,75,86,120,NA,NA,NA,NA,Ankazotoho,Pauvre,8443.286,519520,1104845.19,0.470219724,0.01625209,12,18,24901,0.007899475,0.404254896,0.143003585,0.245693444,0.199148601,3.485188112
13,64,68,71,68,69,NA,NA,NA,NA,Ankerana,Moyen,11362.024,599441,649755.455,0.922564013,0.018954366,2,3,18268,0.000111322,0.185016741,0.164111217,0.35552937,0.295231351,3.781658211
14,48,38,59,48,50,NA,NA,NA,NA,Anosipatrana,Pauvre,3317.054,160269,200276.877,0.800237164,0.020696791,1,10,8647,0.008138451,0.241293113,0.174633797,0.262040338,0.3138943,3.698918238
15,30,31,27,27,24,NA,NA,NA,NA,Faravohitra-Analakely,Riche,6134.63,345791,155817.136,2.219210344,0.017740861,4,9,2643,0.001065573,0.056902862,0.15021047,0.252961475,0.53885962,4.178339101
16,54,47,50,76,61,NA,NA,NA,NA,Isotry-Antetezana,Riche,2282.044,127756,136097.686,0.938708098,0.017862519,2,4,10652,0.000131579,0.034482251,0.229576565,0.08934451,0.646465094,4.152434976
17,13,15,13,16,12,NA,NA,NA,NA,Mahamasina,Moyen,6163.348,366789,527641.433,0.695148214,0.016803525,3,5,7528,0.000495426,0.205217681,0.162235823,0.385780705,0.246270364,3.715094758
18,26,28,19,33,37,NA,NA,NA,NA,Mandroseza,Riche,4360.538,285634,1326505.949,0.215328096,0.015266173,4,7,16967,0.000212456,0.178969517,0.146907777,0.460029096,0.213881154,3.740458716
19,135,126,147,157,117,NA,NA,NA,NA,Soavimasoandro,Riche,13854.753,685235,4722367.687,0.145104118,0.02021898,2,10,32838,0.009844545,0.147009805,0.181276384,0.442315145,0.21955412,3.780946
