"","1","2","3","4","5","6","7","8","9"
"1",2,6,2,5,7,6,7,2,5
"2",10,12,10,13,16,13,16,20,13
"3",28,26,32,26,33,32,31,34,25
"4",8,5,10,9,10,11,9,9,10
"5",10,9,8,13,14,12,13,8,14
"6",14,13,19,18,26,21,23,21,20
"7",9,14,14,17,18,21,19,15,12
"8",18,13,9,16,22,9,12,8,11
"9",10,14,10,9,12,14,14,8,6
"10",13,16,17,16,13,11,16,14,16
"11",5,2,10,6,6,NA,NA,NA,NA
"12",4,7,4,4,5,NA,NA,NA,NA
"13",3,6,5,5,10,NA,NA,NA,NA
"14",3,3,8,4,5,NA,NA,NA,NA
"15",6,7,3,6,9,NA,NA,NA,NA
"16",3,3,5,10,6,NA,NA,NA,NA
"17",8,8,2,9,13,NA,NA,NA,NA
"18",5,2,1,3,12,NA,NA,NA,NA
"19",9,2,8,10,2,NA,NA,NA,NA
"20",7,12,11,5,10,NA,NA,NA,NA
"21",17,7,9,12,14,NA,NA,NA,NA
"22",16,9,9,11,12,NA,NA,NA,NA
"23",6,6,11,9,5,NA,NA,NA,NA
"24",3,3,5,5,3,NA,NA,NA,NA
"25",4,1,7,4,5,NA,NA,NA,NA
"26",5,6,7,6,6,NA,NA,NA,NA
"27",15,8,12,9,14,NA,NA,NA,NA
"28",8,13,7,6,9,NA,NA,NA,NA
"29",6,13,11,10,18,NA,NA,NA,NA
"30",12,13,16,9,9,NA,NA,NA,NA
"31",5,14,9,10,11,NA,NA,NA,NA
"32",8,3,8,9,8,NA,NA,NA,NA
"33",7,8,8,11,9,NA,NA,NA,NA
"34",2,2,3,4,6,NA,NA,NA,NA
"35",3,5,4,3,4,NA,NA,NA,NA
"36",8,1,5,1,1,NA,NA,NA,NA
"37",4,6,9,10,10,NA,NA,NA,NA
"38",3,2,7,6,3,NA,NA,NA,NA
"39",3,6,6,3,4,NA,NA,NA,NA
"40",8,8,8,2,3,NA,NA,NA,NA
"41",8,8,9,10,7,NA,NA,NA,NA
"42",10,3,9,4,5,NA,NA,NA,NA
"43",2,2,3,1,2,NA,NA,NA,NA
"44",16,20,15,11,21,NA,NA,NA,NA
"45",35,27,31,30,34,NA,NA,NA,NA
"46",25,21,12,22,20,NA,NA,NA,NA
"47",6,8,12,10,13,NA,NA,NA,NA
"48",3,3,7,5,2,NA,NA,NA,NA
"49",2,1,4,3,1,NA,NA,NA,NA
"50",17,18,33,24,24,NA,NA,NA,NA
"51",0,20,26,15,16,NA,NA,NA,NA
"52",20,27,27,17,21,NA,NA,NA,NA
"53",9,13,8,13,10,NA,NA,NA,NA
"54",21,18,26,18,21,NA,NA,NA,NA
"55",27,11,17,18,18,NA,NA,NA,NA
"56",11,8,7,10,14,NA,NA,NA,NA
"57",30,29,27,26,29,NA,NA,NA,NA
"58",17,12,19,15,13,NA,NA,NA,NA
"59",22,19,10,11,14,NA,NA,NA,NA
"60",3,9,7,4,11,NA,NA,NA,NA
"61",7,5,4,6,4,NA,NA,NA,NA
"62",6,4,5,3,7,NA,NA,NA,NA
"63",8,3,10,7,5,NA,NA,NA,NA
"64",8,20,13,16,15,NA,NA,NA,NA
"65",29,21,21,18,44,NA,NA,NA,NA
"66",22,29,20,24,34,NA,NA,NA,NA
"67",10,7,10,14,12,NA,NA,NA,NA
"68",13,22,24,30,30,NA,NA,NA,NA
"69",5,3,7,3,1,NA,NA,NA,NA
"70",1,1,1,1,1,NA,NA,NA,NA
"71",11,13,7,9,9,NA,NA,NA,NA
"72",13,19,14,15,21,NA,NA,NA,NA
"73",6,5,8,7,4,NA,NA,NA,NA
"74",12,14,17,15,18,NA,NA,NA,NA
"75",8,7,11,9,10,NA,NA,NA,NA
"76",8,6,6,9,5,NA,NA,NA,NA
"77",18,14,12,13,12,NA,NA,NA,NA
"78",14,15,30,21,27,NA,NA,NA,NA
"79",16,9,17,14,11,NA,NA,NA,NA
"80",5,8,7,6,3,NA,NA,NA,NA
"81",12,7,10,9,9,NA,NA,NA,NA
"82",6,6,1,6,4,NA,NA,NA,NA
"83",7,10,9,6,8,NA,NA,NA,NA
"84",28,27,36,42,34,NA,NA,NA,NA
"85",26,20,14,34,27,NA,NA,NA,NA
"86",6,4,1,3,2,NA,NA,NA,NA
"87",1,1,3,2,2,NA,NA,NA,NA
"88",3,3,2,4,3,NA,NA,NA,NA
"89",3,7,7,7,5,NA,NA,NA,NA
"90",1,4,6,2,11,NA,NA,NA,NA
"91",9,6,4,12,8,NA,NA,NA,NA
"92",16,18,11,19,18,NA,NA,NA,NA
"93",17,16,11,15,13,NA,NA,NA,NA
"94",26,36,28,37,25,NA,NA,NA,NA
"95",8,11,7,13,11,NA,NA,NA,NA
"96",6,3,5,11,5,NA,NA,NA,NA
"97",9,3,7,9,5,NA,NA,NA,NA
"98",5,5,6,8,7,NA,NA,NA,NA
"99",10,8,15,13,10,NA,NA,NA,NA
"100",11,8,11,13,13,NA,NA,NA,NA
"101",13,15,20,19,16,NA,NA,NA,NA
"102",30,21,37,19,12,NA,NA,NA,NA
