"","id_fkt.x","fkt","Seclasse","length","area_real","area_admin","percentage covared","pcc_bac","pcc_total","population","green","industrial","urban","water","id_fkt.y","sum","p_water","p_green","p_industrial","p_urban","sum_check","index1_raw","index2_raw","index1","index2","pop_dens_s","area_s","pcc_s","length_s"
"1",1,"Ambatomaro","Riche",14189.705,806654,2417765.503,0.333636161,4,5,32838,318038.602942819,164083.050295917,727877.578115035,28898.9453396176,1,1238898.17669339,0.0233263280899716,0.256710849144731,0.132442724820093,0.587520097945204,1,0.113495910647971,-0.156357283231739,0.661067155502662,-0.905731434934776,-0.665622490524457,1.49694300393294,-0.549035892289151,1.40126002692631
"2",2,"Ambodimita","Moyen",7271.998,389383,1284071.607,0.303240877,2,5,12757,196951.703799952,45558.2772524636,337219.415620259,6723.48060587207,2,586452.877278546,0.0114646561835839,0.33583551454963,0.0776844636927664,0.57501536557402,1,0.769680540407651,0.61976215692136,1.60312507883518,2.62763396596623,-0.855408568380974,-0.0879916047151838,-0.549035892289151,-0.0357433234305341
"3",2,"Ambodivona","Moyen",2151.361,121716,79875.869,1.523814408,0,3,2795,8916.29646230576,28598.5524184536,154268.134338401,330.708467851962,3,192113.691687012,0.00172142060749499,0.0464115617372655,0.148862645693394,0.803004371961845,1,-1.63037071111328,-0.097695691729527,-1.84253212701477,-0.638668368282536,0.448474552203786,-1.10468026003275,-0.830973242383579,-1.09944442047919
"4",4,"Ambohimanandray","Moyen",1859.233,105997,78224.977,1.355027564,1,3,4018,23740.9509546792,21236.6641202812,115115.660011048,1613.17071284925,4,161706.445798858,0.00997592090333753,0.146815118206295,0.131328494763263,0.711880466127104,1,-0.772596890424433,-0.0154201137511741,-0.611060697238849,-0.26410014395034,1.30046489174137,-1.16438627150573,-0.830973242383579,-1.16012766634853
"5",5,"Ambohimiandra","Pauvre",10172.046,573303,474234.601,1.208901668,3,9,8674,213967.460434139,117276.482853627,494830.266902302,16554.847291774,5,842629.057481843,0.0196466608227912,0.253928414329279,0.13917925309163,0.587245671756299,1,0.01107994792734,-0.108321358675584,0.51403267041874,-0.687042834899798,-0.420604403076828,0.610597976690097,0.0148388078997067,0.566678648502601
"6",6,"Ampandrana","Moyen",5399.022,290622,242530.113,1.198292436,4,6,4018,53818.2431742196,47684.4763946646,316311.239725448,2803.26325054616,6,420617.222544879,0.00666464210282558,0.127950640842999,0.113367864744475,0.7520168523097,1,-0.842525675693296,0.140869670543073,-0.711454646203605,0.447425541104837,-0.510290201369504,-0.463118864660633,-0.408067217241936,-0.424813399271843
"7",7,"Analamahitsy","Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,191421.93184211,165217.639594744,763904.531716265,27867.5648544642,7,1148411.66800758,0.0242661805263721,0.166684070856067,0.143866214701027,0.665183533916534,1,-0.523622631246792,-0.416351897215641,-0.253618351096054,-2.0893842671459,-0.489444908888241,1.42707265079054,0.860650858182993,1.56945013394635
"8",8,"Andavamamba","Pauvre",3869.679,234563,302711.58,0.7748729,1,10,12402,83893.4641574486,40005.5838249585,254247.474552855,6570.524090486,8,384717.046625748,0.0170788483331174,0.218065367503874,0.103987031965017,0.660868752197992,1,-0.067568779282098,0.100368417607799,0.401119850966074,0.263039326289229,0.759544579936894,-0.67604966796641,0.155807482946921,-0.742501184378205
"9",9,"Andraharo","Pauvre",4029.492,265304,598928.582,0.442964333,2,9,2627,162512.913664174,68574.4924393791,211536.467941768,11372.7962736333,9,453996.670318955,0.0250503957785491,0.357960584931164,0.151046245319822,0.465942773970465,1,0.697339704935279,-0.122564943332207,1.49926824625103,-0.75188825250793,-1.14414141244142,-0.559285083788617,0.0148388078997067,-0.709303505374082
"10",10,"Andraisoro","Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,287989.017991212,190818.332189846,969381.934912661,11910.2510995886,10,1460099.53619331,0.00815715011501228,0.197239305165483,0.130688578045396,0.663914966674108,1,-0.463562850312661,0.12862234904565,-0.167392935356987,0.391668321540578,-0.436472657438555,2.20118070793255,3.39808700903285,2.03218003334285
"11",11,"Anjanahary","Moyen",4350.724,180131,125489.511,1.435426743,3,5,6649,17942.5494652708,30371.8925530024,198818.65017274,467.196856041506,11,247600.289047055,0.00188689947753945,0.0724657856189374,0.122665012508246,0.802982302395277,1,-1.31725999025005,0.103240064581893,-1.39301163828039,0.276112801242857,1.38475600396486,-0.88280058192385,-0.549035892289151,-0.64257453575426
"12",12,"Ankazatoho","Pauvre",8443.286,519520,1104845.19,0.470219724,12,18,24901,310752.783338597,120385.672321767,407716.866678821,13724.1983656243,12,852579.52070481,0.0160972648677731,0.364485394959645,0.141201693681601,0.478215646490981,1,0.675964305489768,0.175889896633708,1.46858044361321,0.606858804593213,-0.199579876922954,0.40631218147087,1.28355688332464,0.207566313741547
"13",13,"Ankerana","Moyen",11362.024,599441,649755.455,0.922564013,2,3,18268,189520.622662677,105932.335423285,580637.887823511,7858.55455909961,13,883949.400468573,0.00889027647389531,0.214402116865755,0.119839818169605,0.656867788490744,1,-0.283595142602836,0.206830769950465,0.0909794758561859,0.747720385420933,0.0906388890306953,0.709878829662972,-0.830973242383579,0.813870727156833
"14",14,"Anosipatrana","Pauvre",3317.054,160269,200276.877,0.800237164,1,10,8647,43296.970970931,36137.3322574965,149564.549142779,2399.37632669545,14,231398.228697902,0.0103690349757513,0.187110209160057,0.156169442008457,0.646351313855736,1,-0.637768872736225,-0.0987361360308761,-0.417493526369711,-0.643405100421634,0.874313476434386,-0.958243090981438,0.155807482946921,-0.857297023012444
"15",15,"Faravohitra-Analakely","Riche",6134.63,345791,155817.136,2.219210344,4,9,2643,81214.9991785907,55473.7294602277,384996.764429876,2796.59944445838,15,524482.092513153,0.0053321161663651,0.154847992596723,0.105768586291317,0.734051304945595,1,-0.643408987357083,0.270285991380617,-0.425590812447608,1.03660695662134,-0.489726548964842,-0.253568578576749,0.0148388078997067,-0.272006817473959
"16",16,"Isotry-Antetezana","Riche",2282.044,127756,136097.686,0.938708098,2,4,10652,10949.5002533266,20547.7968649792,160365.952409344,19.8080336978735,16,191883.057561347,0.000103229716836989,0.057063403056447,0.107084998155242,0.835748369071474,1,-1.3574244445165,0.212948231251385,-1.45067413243526,0.775570771564795,2.70038970027457,-1.08173832293136,-0.690004567336365,-1.07229786616074
"17",17,"Mahamasina","Moyen",6163.348,366789,527641.433,0.695148214,3,5,7528,152120.827205222,82266.1060436694,332782.650732264,7181.32298422469,17,574350.90696538,0.0125033718883943,0.264856946094091,0.14323317861258,0.579406503404935,1,-0.0325900150772515,0.0693035735571154,0.451337458134996,0.121613355653296,-0.6299616153564,-0.173811162143799,-0.549035892289151,-0.266041276838088
"18",18,"Mandroseza","Riche",4360.538,285634,1326505.949,0.215328096,4,7,16967,136699.641305415,59740.2888391307,275936.601301547,12176.8460484786,18,484553.377494571,0.0251300405982931,0.282114721833606,0.12328938691548,0.569465850652622,1,0.352156456821192,-0.100114816789464,1.00370251804032,-0.649681689615585,-0.706794804523391,-0.482064954439066,-0.267098542194722,-0.640535890451647
"19",19,"Soavimasoandro","Riche",13854.753,685235,4722367.687,0.145104118,2,10,32838,185101.748618486,155509.218587787,585886.445265014,8372.55365986107,19,934869.966131147,0.00895584836735094,0.197997320830092,0.166343153830627,0.62670367697193,1,-0.639782236011043,-0.103336367521688,-0.420384031175171,-0.664348138238809,-1.010534605699,1.03575309318562,0.155807482946921,1.33168102535704
