"","compact_ur","industrial","ricefield","sparse_urb","water","fkt","id_fkt","sum","p_water","p_ricefield","p_industrial","p_sparse","p_compact","sum_check"
"1",205414.223844323,278022.853442358,173083.420342785,229265.789086797,20297.6813401467,"Ambatomaro",1,906084.96805641,0.0224015208901281,0.191023387921396,0.306839715086245,0.253029017332206,0.22670525512077,0.999998896350745
"2",165149.386378378,81693.6575647359,80871.3063692401,102568.138425377,6892.77792780865,"Ambodimita",2,437177.266665539,0.0157665515876011,0.184985159420722,0.186866206900084,0.234614528810452,0.377762978477846,0.999995425196705
"3",73900.8963251758,30537.4541917351,4945.70930965302,26994.094251955,322.832220015807,"Ambodivona",3,136703.986298535,0.00236154210829525,0.0361782376912738,0.223383787251436,0.197463841273839,0.540590646448237,0.999978054773081
"4",46969.2327790237,30780.8004851044,11583.9711314821,27454.9595542728,2222.89592279464,"Ambohimanandray",4,119015.859872678,0.0186773084290839,0.0973313232696431,0.258627720020118,0.230683201244304,0.39464683807075,0.999966391033899
"5",184010.618549113,176756.651482191,117069.211644837,149962.541284988,16342.9238779241,"Ambohimiandra",5,644146.946839053,0.0253714217821288,0.181743020314412,0.274404237029405,0.232807967220649,0.285665591449415,0.999992237796011
"6",152788.434337358,65214.5081527212,35203.760815159,69789.8995603915,3436.77029903001,"Ampandrana",6,326439.37316466,0.0105280507853949,0.107841650576267,0.199775252355439,0.213791304902392,0.468045361244735,0.999981619864228
"7",340554.717057408,218195.976521517,106910.340580628,204588.4047193,14845.7143717748,"Analamahitsy",7,885102.153250628,0.0167728824489382,0.120788702397784,0.246520670772486,0.231146658007698,0.384763177681453,0.99999209130836
"8",106975.308998331,56875.0193968746,36055.7082690997,60211.9733142819,3405.56213628255,"Andavamamba",8,263531.57211487,0.0129227860971365,0.136817414246607,0.215818616875566,0.228481061419223,0.405929764467469,0.999969643106001
"9",78514.7750596582,77208.9244770734,75820.5538922594,58790.0688498212,7599.74327303329,"Andraharo",9,297943.065551846,0.025507367519889,0.254480008627909,0.259139860610846,0.197319809208954,0.263522746918893,0.999969792886492
"10",384517.089985243,283938.034462491,161116.864741121,266523.048150623,18253.9120955296,"Andraisoro",10,1114358.94943501,0.0163806393844502,0.144582555578531,0.254799438373471,0.239171631623502,0.345056761270861,0.999991026230816
"11",104866.433804555,42078.7046790822,10856.6648351716,43640.7737325209,864.971979775953,"Anjanahary",11,202318.549031105,0.00427529746490505,0.0536612430603306,0.207982436017831,0.215703275559827,0.51832337819125,0.999945630294144
"12",155575.276753266,142333.593359959,131812.976440026,136124.701570077,18001.057841238,"Ankazatoho",12,583859.605964566,0.0308311410094886,0.225761424653217,0.243780511455004,0.233146290956698,0.266460079039459,0.999979447113865
"13",256281.660392157,157973.299090308,92830.8154588272,156254.637657795,9849.4256742134,"Ankerana",13,673202.838273301,0.0146306954074588,0.137894272247766,0.234659288566718,0.232106326317002,0.380690106787866,0.999980689326811
"14",71121.4713058171,44331.7296315789,22104.6438878278,40117.2591397403,2395.56363661984,"Anosipatrana",14,180084.667601584,0.0133024297322176,0.122745840510596,0.246171593739772,0.222768876851276,0.394933517955926,0.999922258789788
"15",194506.135657252,69258.4268537896,34841.8180868131,87428.2642027942,2388.47287128652,"Faravohitra-Analakely",15,388438.117671936,0.0061489147501836,0.0896972168839505,0.17829976952026,0.225076428458635,0.500739054197371,0.9999613838104
"16",88301.5289639082,27347.2032778785,3571.49145415657,24175.7543507262,109.792291417313,"Isotry-Antetezana",16,143521.770338087,0.000764987020148101,0.0248846669445576,0.190543937783502,0.168446600775455,0.615248326131296,0.999888518654959
"17",129058.465883041,106212.499796054,70437.7777273091,98759.2957001999,7618.65256008092,"Mahamasina",17,412103.691666686,0.018487222303854,0.170922462359983,0.257732463804183,0.239646714400408,0.313169885377842,0.99995874824627
"18",92297.8662737862,79398.5631996046,63723.4173488127,77381.578967749,8118.32568712404,"Mandroseza",18,320937.751477077,0.0252956395742179,0.198553822526435,0.247395524004834,0.241110865305218,0.287588062946776,0.999943914357482
"19",255379.56956077,231760.370274111,101423.299249158,169730.009229229,11001.0026130276,"Soavimasoandro",19,769313.250926295,0.0142997700868687,0.131836152733673,0.301256178799804,0.220625355178615,0.331957845849241,0.999975302648203
